name,age,nationality,overall,club,preferred_foot,jersey number,contract valid until,height,weight,league,speciality
L. Messi,31,Argentina,94,FC Barcelona,Left,10,2021,67,159,LALIGA SANTANDER,Complete Forward
Cristiano Ronaldo,33,Portugal,94,Juventus,Right,7,2022,74,183,SERIE A TIM,Distance Shooter
Neymar Jr,26,Brazil,92,Paris Saint-Germain,Right,10,2022,69,150,LIGUE 1 CONFORAMA,Complete Forward
De Gea,27,Spain,91,Manchester United,Right,1,2020,76,168,PREMIER LEAGUE,Goalkeeper
K. De Bruyne,27,Belgium,91,Manchester City,Right,7,2023,71,154,PREMIER LEAGUE,Complete Midfielder
E. Hazard,27,Belgium,91,Chelsea,Right,10,2020,68,163,PREMIER LEAGUE,Complete Midfielder
L. Modrić,32,Croatia,91,Real Madrid,Right,10,2020,68,146,LALIGA SANTANDER,Complete Midfielder
L. Suárez,31,Uruguay,91,FC Barcelona,Right,9,2021,72,190,LALIGA SANTANDER,Complete Forward
Sergio Ramos,32,Spain,91,Real Madrid,Right,15,2020,72,181,LALIGA SANTANDER,Tackler
J. Oblak,25,Slovenia,90,Atlético Madrid,Right,1,2021,74,192,LALIGA SANTANDER,Goalkeeper
R. Lewandowski,29,Poland,90,FC Bayern München,Right,9,2021,72,176,BUNDESLIGA,Clinical Finisher
T. Kroos,28,Germany,90,Real Madrid,Right,8,2022,72,168,LALIGA SANTANDER,Crosser
D. Godín,32,Uruguay,90,Atlético Madrid,Right,10,2019,74,172,LALIGA SANTANDER,Complete Defender
David Silva,32,Spain,90,Manchester City,Left,21,2020,68,148,PREMIER LEAGUE,Complete Midfielder
N. Kanté,27,France,89,Chelsea,Right,13,2023,66,159,PREMIER LEAGUE,Tactician
P. Dybala,24,Argentina,89,Juventus,Left,21,2022,70,165,SERIE A TIM,Complete Midfielder
H. Kane,24,England,89,Tottenham Hotspur,Right,9,2024,74,196,PREMIER LEAGUE,Clinical Finisher
A. Griezmann,27,France,89,Atlético Madrid,Left,7,2023,69,161,LALIGA SANTANDER,Complete Forward
M. ter Stegen,26,Germany,89,FC Barcelona,Right,22,2022,74,187,LALIGA SANTANDER,Goalkeeper
T. Courtois,26,Belgium,89,Real Madrid,Left,1,2024,78,212,LALIGA SANTANDER,Goalkeeper
Sergio Busquets,29,Spain,89,FC Barcelona,Right,5,2023,74,168,LALIGA SANTANDER,Playmaker
E. Cavani,31,Uruguay,89,Paris Saint-Germain,Right,21,2020,73,170,LIGUE 1 CONFORAMA,Engine
M. Neuer,32,Germany,89,FC Bayern München,Right,1,2021,76,203,BUNDESLIGA,Goalkeeper
S. Agüero,30,Argentina,89,Manchester City,Right,10,2021,68,154,PREMIER LEAGUE,Complete Forward
G. Chiellini,33,Italy,89,Juventus,Left,3,2020,74,187,SERIE A TIM,Complete Defender
K. Mbappé,19,France,88,Paris Saint-Germain,Right,10,2022,70,161,LIGUE 1 CONFORAMA,Dribbler
M. Salah,26,Egypt,88,Liverpool,Left,10,2023,69,157,PREMIER LEAGUE,Complete Forward
Casemiro,26,Brazil,88,Real Madrid,Right,14,2021,73,185,LALIGA SANTANDER,Complete Defender
J. Rodríguez,26,Colombia,88,FC Bayern München,Left,10,"Jun 30, 2019",71,172,BUNDESLIGA,Complete Midfielder
L. Insigne,27,Italy,88,Napoli,Right,10,2022,64,130,SERIE A TIM,Dribbler
Isco,26,Spain,88,Real Madrid,Right,22,2022,69,174,LALIGA SANTANDER,Complete Midfielder
C. Eriksen,26,Denmark,88,Tottenham Hotspur,Right,10,2020,71,168,PREMIER LEAGUE,Complete Midfielder
Coutinho,26,Brazil,88,FC Barcelona,Right,7,2023,68,150,LALIGA SANTANDER,Complete Midfielder
P. Aubameyang,29,Gabon,88,Arsenal,Right,14,2021,74,176,PREMIER LEAGUE,Speedster
